,date,frequency,avg_passenger_count,avg_trip_distance,avg_fare_amount,avg_tip_amount,avg_total_amount,sum_passenger_count,sum_trip_distance,sum_fare_amount,sum_tip_amount,sum_total_amount,date_of_interest,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG,HOSP_COUNT_7DAY_AVG,DEATH_COUNT_7DAY_AVG,ALL_DEATH_COUNT_7DAY_AVG,policy,policy_coverage_area
119,2020-05-30,7822,1.0,2.3786742521094393,9.877821529020707,1.4444937356174865,14.253754794171448,7822.0,18605.990000000034,77264.31999999998,11298.82999999998,111492.87000000906,2020-05-30,346.0,54.0,52.0,622.0,628.0,76.0,45.0,50.0,1.0,1.0
120,2020-05-31,6095,1.0,2.4307842493847325,9.825268252666119,1.462065627563573,14.262554552913139,6095.0,14815.629999999945,59885.009999999995,8911.289999999977,86930.27000000558,2020-05-31,230.0,60.0,39.0,588.0,595.0,72.0,44.0,48.0,1.0,1.0
121,2020-06-01,10279,1.0,2.3069306352757875,9.793624866232122,1.4729419204202736,14.487033758147833,10279.0,23712.93999999982,100668.66999999998,15140.369999999994,148912.22000000157,2020-06-01,686.0,82.0,35.0,620.0,627.0,73.0,42.0,47.0,1.0,1.0
122,2020-06-02,10306,1.0,2.3009111197360754,9.886428294197556,1.5395284300407537,14.659446924121925,10306.0,23713.189999999995,101889.53000000001,15866.380000000006,151080.26000000056,2020-06-02,571.0,63.0,38.0,551.0,559.0,71.0,42.0,47.0,1.0,1.0
123,2020-06-03,10250,1.0,2.227785365853667,9.59568487804878,1.4670575609756078,14.234493658536799,10250.0,22834.800000000083,98355.77,15037.33999999998,145903.56000000218,2020-06-03,515.0,75.0,43.0,519.0,527.0,71.0,41.0,46.0,1.0,1.0
124,2020-06-04,10785,1.0,2.2822661103384387,9.807035697728326,1.528134445989805,14.559308298562692,10785.0,24614.24000000006,105768.87999999999,16480.930000000048,157022.13999999865,2020-06-04,519.0,75.0,33.0,501.0,510.0,70.0,40.0,45.0,1.0,1.0
125,2020-06-05,11244,1.0,2.3475978299537537,10.016091248665957,1.5693578797580872,14.850119174670533,11244.0,26396.390000000007,112620.93000000001,17645.85999999993,166974.73999999548,2020-06-05,402.0,55.0,28.0,467.0,476.0,66.0,38.0,43.0,1.0,1.0
126,2020-06-06,8067,1.0,2.479199206644354,10.221985868352547,1.5847787281517234,14.740085533656721,8067.0,19999.700000000004,82460.76,12784.409999999953,118908.27000000876,2020-06-06,247.0,36.0,34.0,453.0,462.0,64.0,36.0,40.0,1.0,1.0
127,2020-06-07,6462,1.0,2.4896734757041115,10.0461095636026,1.5609254100897505,14.583511296813002,6462.0,16088.269999999968,64917.96,10086.699999999968,94238.65000000563,2020-06-07,197.0,54.0,25.0,448.0,458.0,63.0,34.0,38.0,1.0,1.0
128,2020-06-08,11795,1.0,2.257376006782535,9.716909707503179,1.4813276812208593,14.485805002118958,11795.0,26625.749999999996,114610.95,17472.260000000035,170860.0699999931,2020-06-08,447.0,62.0,40.0,414.0,425.0,60.0,34.0,39.0,1.0,0.0001
129,2020-06-09,12143,1.0,2.223807955200529,9.635263938071317,1.5263287490735418,14.473302314089691,12143.0,27003.700000000026,117001.01,18534.210000000017,175749.30999999112,2020-06-09,419.0,65.0,31.0,392.0,404.0,60.0,33.0,37.0,1.0,0.0001
130,2020-06-10,12729,1.0,2.208889936365785,9.616572393746562,1.5431133631864262,14.471265613951479,12729.0,28116.96000000008,122409.34999999999,19642.29000000002,184204.73999998838,2020-06-10,363.0,63.0,32.0,371.0,384.0,59.0,32.0,36.0,1.0,0.0001
131,2020-06-11,12612,1.0,2.204766095781799,9.649205518553757,1.5434871550903893,14.478078813827167,12612.0,27806.510000000053,121695.77999999998,19466.45999999999,182597.52999998824,2020-06-11,363.0,50.0,21.0,348.0,363.0,55.0,30.0,34.0,1.0,0.0001
132,2020-06-12,13789,1.0,2.2860867358039023,9.932440351004425,1.5670534484009044,14.79607948364496,13789.0,31522.85000000001,136958.42,21608.10000000007,204023.13999998034,2020-06-12,409.0,52.0,23.0,349.0,364.0,55.0,29.0,34.0,1.0,0.0001
133,2020-06-13,9307,1.0,2.441289352100553,9.986135167078544,1.5206425271301187,14.520566240465046,9307.0,22721.079999999845,92940.96,14152.620000000015,135142.91000000818,2020-06-13,196.0,34.0,15.0,342.0,358.0,54.0,27.0,31.0,1.0,0.0001
134,2020-06-14,7184,1.0,2.541699610244983,10.118720768374162,1.5293569042316277,14.685878340758252,7184.0,18259.569999999956,72692.88999999998,10986.900000000014,105503.35000000728,2020-06-14,180.0,46.0,23.0,340.0,356.0,53.0,26.0,30.0,1.0,0.0001
135,2020-06-15,12572,1.0,2.2789460706331575,9.854704104358893,1.5412090359529114,14.712480909957694,12572.0,28650.910000000054,123893.34,19376.08,184965.30999998812,2020-06-15,380.0,53.0,20.0,330.0,346.0,52.0,24.0,26.0,1.0,0.0001
136,2020-06-16,13526,1.0,2.240734141653106,9.831218394203754,1.5773709892059786,14.734479520921404,13526.0,30308.16999999991,132977.05999999997,21335.520000000066,199298.56999998292,2020-06-16,419.0,61.0,16.0,330.0,347.0,51.0,21.0,24.0,1.0,0.0001
